Texto,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Accessibility engineering in web evaluation process: a systematic literature review,Universal Access in the Information Society,,,,10.1007/s10209-023-00967-2,Jinat AraCecilia Sik-LanyiArpad Kelemen,2023,http://link.springer.com/article/10.1007/s10209-023-00967-2,Article
Manufacturing Driving Circular Economy,Lecture Notes in Mechanical Engineering,,,,10.1007/978-3-031-28839-5,Holger KohlGünther SeligerFranz Dietrich,2023,http://link.springer.com/book/10.1007/978-3-031-28839-5,Book
Agile Processes in Software Engineering and Extreme Programming,Lecture Notes in Business Information Processing,,,,10.1007/978-3-319-57633-6,Hubert BaumeisterHorst LichterMatthias Riebisch,2017,http://link.springer.com/book/10.1007/978-3-319-57633-6,Book
African Handbook of Climate Change Adaptation,,,,,10.1007/978-3-030-45106-6,Prof. Nicholas OgugeProf. Desalegn AyalProf. Lydia AdelekeProf. Izael da Silva,2021,http://link.springer.com/referencework/10.1007/978-3-030-45106-6,ReferenceWork
Privacy requirements elicitation: a systematic literature review and perception analysis of IT practitioners,Requirements Engineering,,28,2,10.1007/s00766-022-00382-8,Edna Dias CanedoIan Nery BandeiraAngelica Toffano Seidel CalazansPedro Henrique Teixeira CostaEmille Catarine Rodrigues CançadoRodrigo Bonifácio,2023,http://link.springer.com/article/10.1007/s00766-022-00382-8,Article
Identification and prioritization of SLR search tool requirements: an SLR and a survey,Empirical Software Engineering,,24,1,10.1007/s10664-018-9626-5,Ahmed Al-ZubidyJeffrey C. Carver,2019,http://link.springer.com/article/10.1007/s10664-018-9626-5,Article
Understanding the implementations and limitations in knowledge management and knowledge sharing using a systematic literature review,Current Psychology,,,,10.1007/s12144-022-04115-6,Samuel Sam SanthoseLawrence Noble Lawrence,2023,http://link.springer.com/article/10.1007/s12144-022-04115-6,Article
Agile Processes in Software Engineering and Extreme Programming,Lecture Notes in Business Information Processing,,,,10.1007/978-3-031-08169-9,Dr. Viktoria StrayDr. Klaas-Jan StolDr. Maria PaasivaaraDr. Philippe Kruchten,2022,http://link.springer.com/book/10.1007/978-3-031-08169-9,Book
New Digital Work,,,,,10.1007/978-3-031-26490-0,Alexandra ShajekErnst Andreas Hartmann,2023,http://link.springer.com/book/10.1007/978-3-031-26490-0,Book
Analysis of variability models: a systematic literature review,Software and Systems Modeling,,20,4,10.1007/s10270-020-00839-w,Matias Pol’laAgustina BuccellaAlejandra Cechich,2021,http://link.springer.com/article/10.1007/s10270-020-00839-w,Article
Augmented reality in education for people who are deaf or hard of hearing: a systematic literature review,Universal Access in the Information Society,,,,10.1007/s10209-023-00994-z,Natália FernandesAntonio José Melo Leite JuniorEdgar MarçalWindson Viana,2023,http://link.springer.com/article/10.1007/s10209-023-00994-z,Article
Systematic literature review as a digital collaborative research-like learning activity: a case study,Education and Information Technologies,,,,10.1007/s10639-023-11997-x,Anne Wally RyanLine KolåsAnders Grov NilsenAslaug Grov Almås,2023,http://link.springer.com/article/10.1007/s10639-023-11997-x,Article
